Date,Description,Amount
2026-08-01,PAYROLL ACME CORP DIRECT DEP,4900.00
2026-08-01,RENT PAYMENT PARKSIDE APARTMENTS,-2950.00
2026-08-02,BLUE BOTTLE COFFEE,-21.44
2026-08-02,TARGET 00012345,-75.73
2026-08-02,TRANSFER TO SAVINGS 4471,-1500.00
2026-08-03,LITTLE OAKS DAYCARE,-1350.00
2026-08-04,KAISER PERMANENTE PREMIUM,-210.00
2026-08-05,PG&E ELECTRIC AND GAS,-131.84
2026-08-05,UBER *TRIP,-67.63
2026-08-06,COSTCO WHSE #0421,-105.75
2026-08-06,NETFLIX.COM,-17.99
2026-08-07,COSTCO WHSE #0421,-54.79
2026-08-08,COMCAST CABLE COMM,-89.99
2026-08-09,DOORDASH*THAI HOUSE,-10.49
2026-08-09,SPOTIFY USA,-11.99
2026-08-10,SHELL OIL 57444,-72.99
2026-08-11,CVS PHARMACY #9876,-34.50
2026-08-11,TRADER JOE'S #182,-76.91
2026-08-12,STARBUCKS STORE 05812,-33.07
2026-08-12,VERIZON WIRELESS PAYMENT,-112.40
2026-08-14,APPLE.COM/BILL,-9.99
2026-08-15,PAYROLL ACME CORP DIRECT DEP,4900.00
2026-08-16,SWEETGREEN SF,-20.79
2026-08-16,VENMO PAYMENT 1023,-85.00
2026-08-16,WHOLE FOODS MARKET 10321,-159.57
2026-08-18,24 HOUR FITNESS,-49.99
2026-08-18,CHEVRON 0091 SAN FRANCISCO,-55.07
2026-08-18,DOORDASH*THAI HOUSE,-23.50
2026-08-18,TARGET 00012345,-72.09
2026-08-19,BLUE BOTTLE COFFEE,-27.00
2026-08-20,AMAZON MKTPLACE PMTS,-100.14
2026-08-20,AMERICAN RED CROSS DONATION,-100.00
2026-08-21,STARBUCKS STORE 05812,-10.43
2026-08-22,AMAZON.COM*2K4LL,-87.69
2026-08-23,COSTCO WHSE #0421,-48.50
2026-08-24,SQ *CORNER BAKERY,-23.75
2026-08-24,STARBUCKS STORE 05812,-26.63
2026-08-27,ZELLE TO J. ALVAREZ,-300.00
2026-08-28,CHIPOTLE 2216,-24.26
